LBL,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,              Family,             Order ,Class ,TSN,NODC_CODE
bratislavia unidentata,.,.,.,.,.,.,.,.,
Branchiostoma caribaeum,.,.,.,amphioxus,Branchiostomatidae,Amphioxiformes,Leptocardii,159682,
acanthohaustorius intermedius,amphipods,amphipods_isopods,small_crust,amphipod,Haustoriidae ,Amphipoda,Malacostraca,,
acanthohaustorius millsi,amphipods,amphipods_isopods,small_crust,amphipod,Haustoriidae ,Amphipoda,Malacostraca,,
americhelidium americanum,amphipods,amphipods_isopods,small_crust,amphipod,Oedicerotidae,Amphipoda,Malacostraca,,
Ameroculodes species co,amphipods,amphipods_isopods,small_crust,amphipod,Oedicerotidae,Amphipoda,Malacostraca,#N/A,
ameroculodes species complex,amphipods,amphipods_isopods,small_crust,amphipod,Oedicerotidae,Amphipoda,Malacostraca,#N/A,
Ampelisca abdita,amphipods,amphipods_isopods,small_crust,amphipod,Ampeliscidae,Amphipoda,Malacostraca,93329,
Ampelisca spp.,amphipods,amphipods_isopods,small_crust,amphipod,Ampeliscidae,Amphipoda,Malacostraca,#N/A,
ampelisca vadorum,amphipods,amphipods_isopods,small_crust,amphipod,Ampeliscidae,Amphipoda,Malacostraca,,
Ampelisca verrilli,amphipods,amphipods_isopods,small_crust,amphipod,Ampeliscidae,Amphipoda,Malacostraca,93331,
amphipoda,amphipods,amphipods_isopods,small_crust,amphipod,.,Amphipoda,Malacostraca,,
ampithoe longimana,amphipods,amphipods_isopods,small_crust,amphipod,Ampithoidae,Amphipoda,Malacostraca,,
Ampithoe valida,amphipods,amphipods_isopods,small_crust,amphipod,Ampithoidae,Amphipoda,Malacostraca,93424,
ampithoidae,amphipods,amphipods_isopods,small_crust,amphipod,Ampithoidae,Amphipoda,Malacostraca,,
Apocorophium acutum,amphipods,amphipods_isopods,small_crust,amphipod,Corophioidea,Amphipoda,Malacostraca,#N/A,
Apocorophium lacustre,amphipods,amphipods_isopods,small_crust,amphipod,Corophioidea,Amphipoda,Malacostraca,#N/A,
Apocorophium simile,amphipods,amphipods_isopods,small_crust,amphipod,Corophioidea,Amphipoda,Malacostraca,#N/A,
apocorophium spp.,amphipods,amphipods_isopods,small_crust,amphipod,Corophioidea,Amphipoda,Malacostraca,,
Batea catharinensis,amphipods,amphipods_isopods,small_crust,amphipod,Bateidea      ,Amphipoda,Malacostraca,93528,
bathyporeia parkeri,amphipods,amphipods_isopods,small_crust,amphipod,Bathyporeiidae,Amphipoda,Malacostraca,,
Caprella equilibra,amphipods,amphipods_isopods,small_crust,amphipod,Caprellidae,Amphipoda,Malacostraca,95410,
Caprella penantis,amphipods,amphipods_isopods,small_crust,amphipod,Caprellidae,Amphipoda,Malacostraca,95419,
Cerapus tubularis,amphipods,amphipods_isopods,small_crust,amphipod,Ischyroceridae,Amphipoda,Malacostraca,93587,
Corophium spp.,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,#N/A,
Crangonyx spp.,amphipods,amphipods_isopods,small_crust,amphipod,Crangonyctidae,Amphipoda,Malacostraca,#N/A,
cymadusa compta,amphipods,amphipods_isopods,small_crust,amphipod,Ampithoidae,Amphipoda,Malacostraca,,
dulichiella appendiculata,amphipods,amphipods_isopods,small_crust,amphipod,Melitidae ,Amphipoda,Malacostraca,,
Elasmopus laevis,amphipods,amphipods_isopods,small_crust,amphipod,Maeridae  ,Amphipoda,Malacostraca,93761,
eobrolgus spinosus,amphipods,amphipods_isopods,small_crust,amphipod,Phoxocephallidae,Amphipoda,Malacostraca,,
Ericthonius brasiliensi,amphipods,amphipods_isopods,small_crust,amphipod,Ischyroceridae,Amphipoda,Malacostraca,#N/A,
ericthonius brasiliensis,amphipods,amphipods_isopods,small_crust,amphipod,Ischyroceridae,Amphipoda,Malacostraca,,
Gammarus daiberi,amphipods,amphipods_isopods,small_crust,amphipod,Gammaridae,Amphipoda,Malacostraca,93779,
Gammarus fasciatus,amphipods,amphipods_isopods,small_crust,amphipod,Gammaridae,Amphipoda,Malacostraca,93780,
Gammarus palustris,amphipods,amphipods_isopods,small_crust,amphipod,Gammaridae,Amphipoda,Malacostraca,93782,
Gammarus spp.,amphipods,amphipods_isopods,small_crust,amphipod,Gammaridae,Amphipoda,Malacostraca,#N/A,
gammarus tigrinus,amphipods,amphipods_isopods,small_crust,amphipod,Gammaridae,Amphipoda,Malacostraca,,
gitanopsis spp.,amphipods,amphipods_isopods,small_crust,amphipod,Amphilochidae,Amphipoda,Malacostraca,,
Grandidierella spp.,amphipods,amphipods_isopods,small_crust,amphipod,Aoridae     ,Amphipoda,Malacostraca,#N/A,
hyalella azteca,amphipods,amphipods_isopods,small_crust,amphipod,Hyalellidae,Amphipoda,Malacostraca,,
Jassa falcata,amphipods,amphipods_isopods,small_crust,amphipod,Ischyroceridae,Amphipoda,Malacostraca,94171,
lembos smithi,amphipods,amphipods_isopods,small_crust,amphipod,Aoridae     ,Amphipoda,Malacostraca,,
Lepidactylus dytiscus,amphipods,amphipods_isopods,small_crust,amphipod,Haustoriidae,Amphipoda,Malacostraca,93998,
Leptocheirus plumulosus,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,93486,
Leucothoidae,amphipods,amphipods_isopods,small_crust,amphipod,Leucothoidae,Amphipoda,Malacostraca,94196,
Listriella barnardi,amphipods,amphipods_isopods,small_crust,amphipod,Liljeborgiidae,Amphipoda,Malacostraca,94213,
Listriella bowenae,amphipods,amphipods_isopods,small_crust,amphipod,Liljeborgiidae,Amphipoda,Malacostraca,#N/A,
Listriella clymenellae,amphipods,amphipods_isopods,small_crust,amphipod,Liljeborgiidae,Amphipoda,Malacostraca,94214,
Listriella smithi,amphipods,amphipods_isopods,small_crust,amphipod,Liljeborgiidae,Amphipoda,Malacostraca,#N/A,
Listriella spp.,amphipods,amphipods_isopods,small_crust,amphipod,Liljeborgiidae,Amphipoda,Malacostraca,#N/A,
Melita nitida,amphipods,amphipods_isopods,small_crust,amphipod,Melitidae ,Amphipoda,Malacostraca,93812,
melita spp.,amphipods,amphipods_isopods,small_crust,amphipod,Melitidae ,Amphipoda,Malacostraca,,
mellita quinquiesperforata,amphipods,amphipods_isopods,small_crust,amphipod,Melitidae ,Amphipoda,Malacostraca,,
Microprotopus raneyi,amphipods,amphipods_isopods,small_crust,amphipod,Isaeidae      ,Amphipoda,Malacostraca,94122,
Monocorophium acherusic,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,#N/A,
monocorophium acherusicum,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,,
Monocorophium insidiosu,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,#N/A,
monocorophium insidiosum,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,,
Monocorophium tubercula,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,#N/A,
monocorophium tuberculatum,amphipods,amphipods_isopods,small_crust,amphipod,Corophiidae,Amphipoda,Malacostraca,,
Mucrogammarus mucronatu,amphipods,amphipods_isopods,small_crust,amphipod,Gammaridae,Amphipoda,Malacostraca,#N/A,
mucrogammarus mucronatus,amphipods,amphipods_isopods,small_crust,amphipod,Gammaridae,Amphipoda,Malacostraca,,
Paracaprella tenuis,amphipods,amphipods_isopods,small_crust,amphipod,Caprellidae,Amphipoda,Malacostraca,95434,
parahaustorius longimerus,amphipods,amphipods_isopods,small_crust,amphipod,Haustoriidae,Amphipoda,Malacostraca,,
Parametopella cypris,amphipods,amphipods_isopods,small_crust,amphipod,Stenothoidae,Amphipoda,Malacostraca,94927,
Photis pollex,amphipods,amphipods_isopods,small_crust,amphipod,Photidae   ,Amphipoda,Malacostraca,94078,
photis reinhardi,amphipods,amphipods_isopods,small_crust,amphipod,Photidae   ,Amphipoda,Malacostraca,,
photis spp.,amphipods,amphipods_isopods,small_crust,amphipod,Photidae   ,Amphipoda,Malacostraca,,
Pleusymtes glaber,amphipods,amphipods_isopods,small_crust,amphipod,Pleustidae,Amphipoda,Malacostraca,94797,
protohaustorius deichmannae,amphipods,amphipods_isopods,small_crust,amphipod,Haustoriidae,Amphipoda,Malacostraca,,
protohaustorius wigleyi,amphipods,amphipods_isopods,small_crust,amphipod,Haustoriidae,Amphipoda,Malacostraca,,
pseudohaustorius caroliniensis,amphipods,amphipods_isopods,small_crust,amphipod,Haustoriidae,Amphipoda,Malacostraca,,
Rhepoxynius epistomus,amphipods,amphipods_isopods,small_crust,amphipod,Phoxocephallidae,Amphipoda,Malacostraca,94728,
stenopleustes gracilis,amphipods,amphipods_isopods,small_crust,amphipod,Pleustidae,Amphipoda,Malacostraca,,
Stenothoe minuta,amphipods,amphipods_isopods,small_crust,amphipod,Stenothoidae,Amphipoda,Malacostraca,94936,
stenothoe spp.,amphipods,amphipods_isopods,small_crust,amphipod,Stenothoidae,Amphipoda,Malacostraca,,
Unciola dissimilis,amphipods,amphipods_isopods,small_crust,amphipod,Unciolidae,Amphipoda,Malacostraca,93635,
Unciola irrorata,amphipods,amphipods_isopods,small_crust,amphipod,Unciolidae,Amphipoda,Malacostraca,93632,
Unciola serrata,amphipods,amphipods_isopods,small_crust,amphipod,Unciolidae,Amphipoda,Malacostraca,93633,
unciola spp.,amphipods,amphipods_isopods,small_crust,amphipod,Unciolidae,Amphipoda,Malacostraca,,
microdeutopus gryllotalpa,amphipods,amphipods_isopods,small_crust,amphipod,Aoridae     ,Amphipoda,Malacostraca,,
Balanus improvisus,.,.,.,barnacle,Balanidae      ,Sessilia             ,Maxillopoda,89622,
balanus spp.,.,.,.,barnacle,Balanidae      ,Sessilia             ,Maxillopoda,,
Macoma balthica,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida       ,Bivalvia         ,#N/A,
Macoma mitchelli,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida      ,Bivalvia         ,81054,
Macoma spp.,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida            ,Bivalvia         ,#N/A,
Macoma tenta,Macoma,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardiida            ,Bivalvia         ,81055,
Anadara ovalis,other_bivalves,Large_bivalve,bivalves,bivalve,Arcidae        ,Arcoida       ,Bivalvia         ,79342,
Barnea truncata,other_bivalves,Large_bivalve,bivalves,bivalve,Pholadidae,Myida          ,Bivalvia         ,81798,
Corbicula fluminea,other_bivalves,Large_bivalve,bivalves,bivalve,Cyrenoidae,Veneroida  ,Bivalvia         ,81387,
crassostrea virginica,other_bivalves,Large_bivalve,bivalves,bivalve,Ostreidae,Ostreida,Bivalvia         ,,
Cyrtopleura costata,other_bivalves,Large_bivalve,bivalves,bivalve,Pholadidae,Myoida          ,Bivalvia         ,81796,
Dosinia discus,other_bivalves,Large_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81489,
Elliptio complanata,other_bivalves,Large_bivalve,bivalves,bivalve,Unionidae,Unionoida ,Bivalvia         ,79952,
Geukensia demissa,other_bivalves,Large_bivalve,bivalves,bivalve,Mytillidae   ,Mytiloida    ,Bivalvia         ,79555,
Ischadium recurvum,other_bivalves,Large_bivalve,bivalves,bivalve,Mytilidae   ,Mytiloida    ,Bivalvia         ,79561,
Mercenaria mercenaria,other_bivalves,Large_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81496,
Modiolus modiolus,other_bivalves,Large_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,79501,
Mya arenaria,other_bivalves,Large_bivalve,bivalves,bivalve,Myidae       ,Myoida           ,Bivalvia         ,81692,
Mytilidae,other_bivalves,Large_bivalve,bivalves,bivalve,Mytilidae   ,Mytiloida    ,Bivalvia         ,#N/A,
Mytilus edulis,other_bivalves,Large_bivalve,bivalves,bivalve,Mytilidae             ,Mytiloida    ,Bivalvia         ,79454,
Petricola pholadiformis,other_bivalves,Large_bivalve,bivalves,bivalve,Petricolidae,veneroida  ,Bivalvia         ,81627,
polymesoda caroliniana,other_bivalves,Large_bivalve,bivalves,bivalve,Cyrenidae,Venerida,Bivalvia         ,,
Rangia cuneata,other_bivalves,Large_bivalve,bivalves,bivalve,Mactridae  ,veneroida  ,Bivalvia         ,80962,
spisula solidissima,other_bivalves,Large_bivalve,bivalves,bivalve,Mactridae  ,Venerida,Bivalvia         ,,
Unionidae,other_bivalves,Large_bivalve,bivalves,bivalve,Unionidae,Unionoida ,Bivalvia         ,79913,
Yoldia limatula,other_bivalves,Large_bivalve,bivalves,bivalve,Yoldiidae ,Nuculoida ,Bivalvia         ,79273,
Abra aequalis,other_bivalves,Small_bivalve,bivalves,bivalve,Semelidae,Cardiida            ,Bivalvia         ,81302,
Aligena elevata,other_bivalves,Small_bivalve,bivalves,bivalve,Lasaeidae    ,veneroida  ,Bivalvia         ,80685,
amygdalum papyrium,other_bivalves,Small_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,,
Anadara transversa,other_bivalves,Small_bivalve,bivalves,bivalve,Arcidae        ,Arcoida       ,Bivalvia         ,79340,
anomia simplex,other_bivalves,Small_bivalve,bivalves,bivalve,Anomiidae,Pectinida,Bivalvia         ,,
arcuatula papyria,other_bivalves,Small_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,,
Bivalvia,other_bivalves,Small_bivalve,bivalves,bivalve,.,.,Bivalvia         ,79118,
donax variabilis,other_bivalves,Small_bivalve,bivalves,bivalve,Donacidae,Cardiida,Bivalvia         ,,
Gemma gemma,other_bivalves,Small_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81511,
Lyonsia hyalina,other_bivalves,Small_bivalve,bivalves,bivalve,Lyonsiidae   ,Pholadomyoida,Bivalvia         ,81926,
Mulinia lateralis,other_bivalves,Small_bivalve,bivalves,bivalve,Mactridae  ,Veneroida  ,Bivalvia         ,80959,
Musculium spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,#N/A,
Musculium transversum,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,81428,
Mysella planulata,other_bivalves,Small_bivalve,bivalves,bivalve,Montacutidae,Veneroida  ,Bivalvia         ,80661,
Mytilopsis leucophaeata,other_bivalves,Small_bivalve,bivalves,bivalve,Dreissenidae,Veneroida  ,Bivalvia         ,81335,
Nucula proxima,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculidae  ,Nuculida ,Bivalvia         ,79132,
Nuculana messanensis,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculanidae ,Nuculoida ,Bivalvia         ,79212,
Nuculana spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Nuculanidae ,Nuculoida ,Bivalvia         ,#N/A,
Pandora gouldiana,other_bivalves,Small_bivalve,bivalves,bivalve,Pandoridae,Pholadomyoida,Bivalvia         ,81896,
Pandora trilineata,other_bivalves,Small_bivalve,bivalves,bivalve,Pandoridae,Pholadomyoida,Bivalvia         ,81895,
Parvilucina crenella,other_bivalves,Small_bivalve,bivalves,bivalve,Lucinidae  ,Lucinida  ,Bivalvia         ,80390,
Periploma spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Perplomatidae ,Pholadomyoida,Bivalvia         ,#N/A,
pisidium compressum,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,veneroida  ,Bivalvia         ,,
Pisidium spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,veneroida  ,Bivalvia         ,#N/A,
semele purpurascens,other_bivalves,Small_bivalve,bivalves,bivalve,Semelidae,Cardiida,Bivalvia         ,,
Solemya velum,other_bivalves,Small_bivalve,bivalves,bivalve,Solemyidae,Solemyoida,Bivalvia         ,79316,
Sphaeriidae,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,81389,
Sphaerium spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,#N/A,
Tellina agilis,other_bivalves,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardida      ,Bivalvia         ,81088,
Tellinidae,other_bivalves,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardida      ,Bivalvia         ,81032,
Ensis directus,Razor_clams,Large_bivalve,bivalves,bivalve,Pharidae     ,Adapedonta,Bivalvia         ,81022,
siliqua costata,Razor_clams,Large_bivalve,bivalves,bivalve,Pharidae     ,Adapedonta,Bivalvia         ,,
Tagelus divisus,Razor_clams,Large_bivalve,bivalves,bivalve,Solecurtidae,Cardiida    ,Bivalvia         ,81274,
Tagelus plebeius,Razor_clams,Large_bivalve,bivalves,bivalve,Solecurtidae,Cardiida    ,Bivalvia         ,81272,
Hutchinsoniella macraca,.,.,.,brachypoda,Hutchinsoniella ,Brachypoda,Cephalocarida,#N/A,
hutchinsoniella macracantha,.,.,.,brachypoda,Hutchinsoniella ,Brachypoda,Cephalocarida,,
ablabesmyia mallochi,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Ablabesmyia parajanta,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,128112,
Ablabesmyia spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
axarus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Chironomidae,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,127917,
Chironomidae pupae,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Chironomini,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129229,
Chironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Cladotanytarsus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cladotanytarsus spp. b epler,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cladotanytarsus viridiventris,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129877,
Clinotanypus pinguis,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,127998,
Coelotanypus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cricotopus bicinctus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cricotopus sylvestris,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,128645,
cricotopus/orthocladius grp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cryptochironomus fulvus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129376,
Cryptochironomus parafu,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cryptochironomus parafulvus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cryptochironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
dicrotendipes neomodestus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
Dicrotendipes nervosus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
dicrotendipes spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
empididae,insect,insect,insect,insect,Empididae,Diptera          ,Insecta       ,,
Epoicocladius spp.,chironomid,chironomid,insect,chironomid,Chironomidae         ,Diptera          ,Insecta       ,#N/A,
Glyptotendipes spp.,chironomid,chironomid,insect,chironomid,Chironomidae      ,Diptera          ,Insecta       ,#N/A,
kiefferulus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
labrundinia spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
lipiniella spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Nanocladius distinctus,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera          ,Insecta       ,128853,
nanocladius spp.,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera          ,Insecta       ,,
Natarsia spp.,chironomid,chironomid,insect,chironomid,Chironomidae        ,Diptera          ,Insecta       ,#N/A,
Orthocladiinae,chironomid,chironomid,insect,chironomid,Chironomidae    ,Diptera          ,Insecta       ,128457,
parametriocnemus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Polypedilum convictum,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129671,
Polypedilum halterale g,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
polypedilum halterale group,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Polypedilum illinoense,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129686,
polypedilum illinoense group,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
polypedilum scalaenum group,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
polypedilum simulans/digitifer,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Polypedilum spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Procladius spp.,chironomid,chironomid,insect,chironomid,Chironomidae      ,Diptera             ,Insecta       ,#N/A,
Procladius sublettei,chironomid,chironomid,insect,chironomid,Chironomidae      ,Diptera             ,Insecta       ,128316,
Pseudochironomus fulviv,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
pseudochironomus fulviventris,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Rheotanytarsus spp.,chironomid,chironomid,insect,chironomid,Chironominae,Diptera             ,Insecta       ,#N/A,
Stictochironomus caffar,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
stictochironomus caffarius,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Stictochironomus spp. g,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
stictochironomus spp. group,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Tanypus neopunctipennis,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,128329,
Tanypus spp.,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
tanypus stellatus,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Tanytarsini,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,129872,
Tanytarsus spp.,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Tanytarsus spp. G Epler,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Thienemannimyia group,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Xenochironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta          ,#N/A,
parachironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Anthozoa,.,.,.,cnidaria,.,.,.,51938,
Ceriantheopsis american,.,.,.,cnidaria,Cerianthidae,Spirularia,Anthozoa      ,#N/A,
ceriantheopsis americanus,.,.,.,cnidaria,Cerianthidae,Spirularia,Anthozoa      ,#N/A,
Diadumene leucolena,.,.,.,cnidaria,Diadumenidae,Actiniaria ,Anthozoa,52749,
Edwardsia elegans,.,.,.,cnidaria,Edwardsiidae,Actiniaria ,Anthozoa,52489,
Eunicea spp.,.,.,.,cnidaria,Plexauridae,Alcyonacea,Anthozoa,#N/A,
haloclava producta,.,.,.,cnidarian,Haloclavidae,Actiniaria ,anthozoa,,
Almyracuma proximoculi,small_crust,small_crust,small_crust,cumacean,Nannastacidae,Cumacea,Malacostraca,90979,
Cyclaspis varians,small_crust,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,91033,
diastylis polita,small_crust,small_crust,small_crust,cumacean,Diastylidae,Cumacea,Malacostraca,,
Leucon americanus,small_crust,small_crust,small_crust,cumacean,Leuconidae,Cumacea,Malacostraca,90790,
mancocuma stellifera,small_crust,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,,
Oxyurostylis smithi,small_crust,small_crust,small_crust,cumacean,Diastylidae,Cumacea,Malacostraca,90923,
Pseudoleptocuma minor,small_crust,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,91040,
