"LBL","Aggregate_grp","Aggregate_grp2","Func_grp","General_grouping","Family","Order","Class","TSN","NODC_CODE"
"ericthonius brasiliensis","amphipods_isopods","amphipods","small_crust","amphipod","Ischyroceridae","Amphipoda","Malacostraca",NA,NA
"eteone foliosa","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta","65270",NA
"eteone heteropoda","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta","65266",NA
"eteone lactea","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta","65267",NA
"eteone longa","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta",NA,NA
"euceramus praelongus",NA,"large_decapod","decapod_crab","decapod_crab","Porcellanidae","Decapoda","Malacostraca","98081",NA
"euclymene zonalis","polychaete","polychaete","worms","polychaete","Maldanidae","Scolecida","Polychaeta","67586",NA
"eumida sanguinea","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta",NA,NA
"eunicea spp.",NA,NA,NA,"cnidaria","Plexauridae","Alcyonacea","Anthozoa",NA,NA
"euplana gracilis",NA,NA,"worms","flatworm","Euplanidae","Polycladida","Rhabditophora","54139",NA
"eurypanopeus depressus",NA,"large_decapod","decapod_crab","decapod_crab","Panopeidae","Decapoda","Malacostraca","98759",NA
"exogone dispar","polychaete","polychaete","worms","polychaete","Syllidae","Phyllodocida","Polychaeta","65722",NA
"exosphaeroma spp.","amphipods_isopods","isopods","small_crust","isopod","Sphaeromatidae","Isopoda","Malacostraca",NA,NA
"ferrissia rivularis",NA,"gastropod","Gastropods","gastropod","Ancylidae","Basommatophora","Gastropoda","76572",NA
"ferrissia spp.",NA,"gastropod","Gastropods","gastropod","Ancylidae","Basommatophora","Gastropoda",NA,NA
"gammarus daiberi","amphipods_isopods","amphipods","small_crust","amphipod","Gammaridae","Amphipoda","Malacostraca","93779",NA
"gammarus fasciatus","amphipods_isopods","amphipods","small_crust","amphipod","Gammaridae","Amphipoda","Malacostraca","93780",NA
"gammarus palustris","amphipods_isopods","amphipods","small_crust","amphipod","Gammaridae","Amphipoda","Malacostraca","93782",NA
"gammarus spp.","amphipods_isopods","amphipods","small_crust","amphipod","Gammaridae","Amphipoda","Malacostraca",NA,NA
"gammarus tigrinus","amphipods_isopods","amphipods","small_crust","amphipod","Gammaridae","Amphipoda","Malacostraca",NA,NA
"gastropoda",NA,"gastropod","Gastropods","gastropod",NA,NA,"Gastropoda","69459",NA
"gemma gemma","other_bivalves","Small_bivalve","bivalves","bivalve","Venerida","Veneroida","Bivalvia","81511",NA
"genetyllis castanea","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta",NA,NA
"geukensia demissa","other_bivalves","Large_bivalve","bivalves","bivalve","Mytillidae","Mytiloida","Bivalvia","79555",NA
"girardia tigrina",NA,NA,NA,"platyhelminth","Dugesiidae","Tricladida","Rhabditophora",NA,NA
"gitanopsis spp.","amphipods_isopods","amphipods","small_crust","amphipod","Amphilochidae","Amphipoda","Malacostraca",NA,NA
"glycera americana","polychaete","polychaete","worms","polychaete","Glyceridae","Phyllodocida","Polychaeta","66106",NA
"glycera capitata","polychaete","polychaete","worms","polychaete","Glyceridae","Phyllodocida","Polychaeta",NA,NA
"glycera dibranchiata","polychaete","polychaete","worms","polychaete","Glyceridae","Phyllodocida","Polychaeta","66107",NA
"glycera robusta","polychaete","polychaete","worms","polychaete","Glyceridae","Phyllodocida","Polychaeta","66108",NA
"glycera sphyrabrancha","polychaete","polychaete","worms","polychaete","Glyceridae","Phyllodocida","Polychaeta",NA,NA
"glycera spp.","polychaete","polychaete","worms","polychaete","Glyceridae","Phyllodocida","Polychaeta",NA,NA
"glycinde solitaria","polychaete","polychaete","worms","polychaete","Goniadidae","Phyllodocida","Polychaeta","66132",NA
"glyptotendipes spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"gomphidae",NA,NA,"insect","insect","Gomphidae","odonata","Insecta","101664",NA
"gomphus spp.",NA,NA,"insect","insect","Gomphidae","odonata","Insecta",NA,NA
"goniobasis virginica",NA,"gastropod","Gastropods","gastropod","Pleuroceridae",NA,"Gastropoda","71852",NA
"grandidierella spp.","amphipods_isopods","amphipods","small_crust","amphipod","Aoridae","Amphipoda","Malacostraca",NA,NA
"gyptis crypta","polychaete","polychaete","worms","polychaete","Hesionidae","Phyllodocida","Polychaeta",NA,NA
"gyraulus spp.",NA,"gastropod","Gastropods","gastropod","Planorbidae",NA,"Gastropoda",NA,NA
"haloclava producta","cnidarian","cnidarian","cnidarian","cnidarian","Haloclavidae","Actiniaria","anthozoa",NA,NA
"haminoea solitaria",NA,"gastropod","Gastropods","gastropod","Haminoeidae","Cephalaspidea","Gastropoda","76258",NA
"hargeria rapax",NA,"small_crust","small_crust","tanaidae","Leptocheliidae","Tanaidacea","Malacostraca","92068",NA
"harmothoe extenuata","polychaete","polychaete","worms","polychaete","Polynoidae","Phyllodocida","Polychaeta","64509",NA
"harmothoe spp.","polychaete","polychaete","worms","polychaete","Polynoidae","Phyllodocida","Polychaeta",NA,NA
"harnischia spp.",NA,"oligocheate","worms","oligocheate","Chironomidea","Diptera","Insecta",NA,NA
"hauchiella sp. a kritzler","polychaete","polychaete","worms","polychaete","Terebellidae","Terebellida","Polychaeta",NA,NA
"hemichordata",NA,NA,NA,"hemichordate",NA,"Enteropneusta","Enteropneusta","158616",NA
"hemipodus roseus","polychaete","polychaete","worms","polychaete","Glyceridae","Phyllodocida","Polychaeta",NA,NA
"hermundura americana","polychaete","polychaete","worms","polychaete","Pilargidae","Phyllodocida","Polychaeta",NA,NA
"hermundura fauveli","polychaete","polychaete","worms","polychaete","Pilargidae","Phyllodocida","Polychaeta",NA,NA
"heteromastus filiformis","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta","67420",NA
"hexagenia limbata","insect","insect","insect","insect","Ephemeidae","Ephemeroptera","Insecta",NA,NA
"hexagenia spp.","insect","insect","insect","insect","Ephemeidae","Ephemeroptera","Insecta",NA,NA
"hexapanopeus angustifro",NA,"large_decapod","decapod_crab","decapod_crab","Panopeidae","Decapoda","Malacostraca",NA,NA
"hexapanopeus angustifrons",NA,"large_decapod","decapod_crab","decapod_crab","Panopeidae","Decapoda","Malacostraca",NA,NA
"hirudinea",NA,NA,"worms","worm_annelid",NA,NA,"Clitellata","69290",NA
"hobsonia florida","polychaete","polychaete","worms","polychaete","Ampharetidae","Terebellida","Polychaeta","67755",NA
"holothuroidea","holothurian","holothurian","holothurian","holothurian",NA,NA,"Holothuroidea",NA,NA
"hutchinsoniella macraca",NA,NA,NA,"brachypoda","Hutchinsoniella","Brachypoda","Cephalocarida",NA,NA
"hutchinsoniella macracantha",NA,NA,NA,"brachypoda","Hutchinsoniella","Brachypoda","Cephalocarida",NA,NA
"hyalella azteca","amphipods_isopods","amphipods","small_crust","amphipod","Hyalellidae","Amphipoda","Malacostraca",NA,NA
"hydracarina",NA,NA,NA,"hydrachnidiae","Hydrachnellae","Trombidiformes","Archanida",NA,NA
"hydrobia spp.",NA,"gastropod","Gastropods","gastropod","Hydrobiidae","Littorinimorpha","Gastropoda",NA,NA
"hydrobia truncata",NA,"gastropod","Gastropods","gastropod","Hydrobiidae","Littorinimorpha","Gastropoda","70495",NA
"hydrobiidae",NA,"gastropod","Gastropods","gastropod","Hydrobiidae","Littorinimorpha","Gastropoda","70493",NA
"hydroides dianthus","polychaete","polychaete","worms","polychaete","Serpulidae","Sabellida","Polychaeta","68282",NA
"hydroides protulicola","polychaete","polychaete","worms","polychaete","Serpulidae","Sabellida","Polychaeta","68283",NA
"hydroporini spp.","insect","insect","insect","insect","Dytiscidae","Coleoptera","Insecta",NA,NA
"hydroptila spp.",NA,NA,"insect","insect","Hydroptillidae","Trichoptera","Insecta",NA,NA
"hydroptilidae",NA,NA,"insect","insect","Hydroptillidae","Trichoptera","Insecta","115629",NA
"idotea balthica","amphipods_isopods","isopods","small_crust","isopod","Idoteidae","Isopoda","Malacostraca",NA,NA
"idotea spp.","amphipods_isopods","isopods","small_crust","isopod","Idoteidae","Isopoda","Malacostraca",NA,NA
"idoteidae","amphipods_isopods","isopods","small_crust","isopod","Idoteidae","Isopoda","Malacostraca","92564",NA
"ilyanassa obsoleta","gastropod","gastropod","Gastropods","gastropod","Nassariidae","Neogastropoda","Gastropoda",NA,NA
"ilyodrilus templetoni",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta","68662",NA
"ischadium recurvum","other_bivalves","Large_bivalve","bivalves","bivalve","Mytilidae","Mytiloida","Bivalvia","79561",NA
"isochaetides freyi",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta","68810",NA
"jassa falcata","amphipods_isopods","amphipods","small_crust","amphipod","Ischyroceridae","Amphipoda","Malacostraca","94171",NA
"kiefferulus spp.","insect","chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"kurtziella atrostyla",NA,"gastropod","Gastropods","gastropod","Mangeliidae","Neogastropoda","Gastropoda","74804",NA
"kurtziella cerina",NA,"gastropod","Gastropods","gastropod","Mangeliidae","Neogastropoda","Gastropoda","74806",NA
"labrundinia spp.","insect","chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"laeonereis culveri","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta","65965",NA
"laevapex fuscus","gastropod","gastropod","Gastropods","gastropod","Planorbidae","Planorboidea","Gastropoda",NA,NA
"laevapex spp.","gastropod","gastropod","Gastropods","gastropod","Planorbidae","Planorboidea","Gastropoda",NA,NA
"leitoscoloplos fragilis","polychaete","polychaete","worms","polychaete","Orbiniidae","Scolecida","Polychaeta","66656",NA
"leitoscoloplos robustus","polychaete","polychaete","worms","polychaete","Orbiniidae","Scolecida","Polychaeta","182728",NA
"leitoscoloplos spp.","polychaete","polychaete","worms","polychaete","Orbiniidae","Scolecida","Polychaeta",NA,NA
"lembos smithi","amphipods_isopods","amphipods","small_crust","amphipod","Aoridae","Amphipoda","Malacostraca",NA,NA
"lepidactylus dytiscus","amphipods_isopods","amphipods","small_crust","amphipod","Haustoriidae","Amphipoda","Malacostraca","93998",NA
"lepidametria commensali","polychaete","polychaete","worms","polychaete","Polynoidae","Phyllodocida","Polychaeta",NA,NA
"lepidametria commensalis","polychaete","polychaete","worms","polychaete","Polynoidae","Phyllodocida","Polychaeta",NA,NA
"lepidonotus sublevis","polychaete","polychaete","worms","polychaete","Polynoidae","Phyllodocida","Polychaeta","64610",NA
"lepidonotus variabilis","polychaete","polychaete","worms","polychaete","Polynoidae","Phyllodocida","Polychaeta",NA,NA
"leptoceridae","insect","insect","insect","insect","Leptoceridae","Trichoptera","Insecta",NA,NA
"leptocheirus plumulosus","amphipods_isopods","amphipods","small_crust","amphipod","Corophiidae","Amphipoda","Malacostraca","93486",NA
"leptochela serratorbita","other_shrimp","small_crust","small_crust","other_shrimp","Pasiphaeidae","Decapoda","Malacostraca",NA,NA
"leptochelia dubia","tanaid","small_crust","small_crust","tanaidae","Leptocheliidae","Tanaidacea","Malacostraca",NA,NA
"leptognathia caeca",NA,"small_crust","small_crust","tanaidae","Leptocheliidae","Tanaidacea","Malacostraca","91757",NA
"leptosynapta tenuis",NA,"small_crust","small_crust","tanaidae","Leptocheliidae","Tanaidacea","Malacostraca","158432",NA
"leucon americanus",NA,"small_crust","small_crust","cumacean","Leuconidae","Cumacea","Malacostraca","90790",NA
"leucothoidae","amphipods_isopods","amphipods","small_crust","amphipod","Leucothoidae","Amphipoda","Malacostraca","94196",NA
"levinsenia gracilis","polychaete","polychaete","worms","polychaete","Paraonidae","Cirratulida","Polychaeta","66729",NA
"limnodrilus cervix",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta","68652",NA
"limnodrilus hoffmeister",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta",NA,NA
"limnodrilus hoffmeisteri",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta",NA,NA
"limnodrilus spp.",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta",NA,NA
"limnodrilus udekemianus",NA,"oligocheate","worms","oligocheate","Naididae","Tubificida","Oligochaeta","68644",NA
"limulus polyphemus",NA,NA,NA,"horseshoe crab","Limulidae","Xiphosura","Merostomata","82703",NA
"liodessus flavicollis","insect","insect","insect","insect","Dytiscidae","Coleoptera","Insecta",NA,NA
"lioplax subcarinata","gastropod","gastropod","Gastropods","gastropod","Viviparidae","Architaenioglossa","Gastropoda",NA,NA
"lipiniella spp.","insect","chironomid","insect","chironomid","Chironomidae","Diptera","Insecta",NA,NA
"listriella barnardi","amphipods_isopods","amphipods","small_crust","amphipod","Liljeborgiidae","Amphipoda","Malacostraca","94213",NA
"listriella bowenae","amphipods_isopods","amphipods","small_crust","amphipod","Liljeborgiidae","Amphipoda","Malacostraca",NA,NA
"listriella clymenellae","amphipods_isopods","amphipods","small_crust","amphipod","Liljeborgiidae","Amphipoda","Malacostraca","94214",NA
"listriella smithi","amphipods_isopods","amphipods","small_crust","amphipod","Liljeborgiidae","Amphipoda","Malacostraca",NA,NA
"listriella spp.","amphipods_isopods","amphipods","small_crust","amphipod","Liljeborgiidae","Amphipoda","Malacostraca",NA,NA
"littoridinops tenuipes",NA,"gastropod","Gastropods","gastropod","Hydrobiidae","Littorinimorpha","Gastropoda","70528",NA
"loimia medusa","polychaete","polychaete","worms","polychaete","Terebellidae","Terebellida","Polychaeta","68015",NA
"loimia spp.","polychaete","polychaete","worms","polychaete","Terebellidae","Terebellida","Polychaeta",NA,NA
"loimia viridis","polychaete","polychaete","worms","polychaete","Terebellidae","Terebellida","Polychaeta",NA,NA
"lumbriculidae","oligochaete","oligocheate","worms","oligocheate","Lumbriculidae","Lumbriculida","Clitellata",NA,NA
"lumbrineridae","polychaete","polychaete","worms","polychaete","Lumbrineridae","Eunicida","Polychaeta",NA,NA
"lymnaeidae","gastropod","gastropod","Gastropods","gastropod","Lymnaeidae","Heterobranchia","Gastropoda",NA,NA
"lyonsia hyalina","other_bivalves","Small_bivalve","bivalves","bivalve","Lyonsiidae","Pholadomyoida","Bivalvia","81926",NA
"lysidice ninetta","polychaete","polychaete","worms","polychaete","Eunicidae","Eunicida","Polychaeta","66320",NA
"lysidice unicornis","polychaete","polychaete","worms","polychaete","Eunicidae","Eunicida","Polychaeta",NA,NA
"lysilla alba","polychaete","polychaete","worms","polychaete","Terebellidae","Terebellida","Polychaeta",NA,NA
"macoma balthica","Macoma","Small_bivalve","bivalves","bivalve","Tellinidae","Cardiida","Bivalvia",NA,NA
"macoma mitchelli","Macoma","Small_bivalve","bivalves","bivalve","Tellinidae","Cardiida","Bivalvia","81054",NA
"macoma spp.","Macoma","Small_bivalve","bivalves","bivalve","Tellinidae","Cardiida","Bivalvia",NA,NA
"macoma tenta","Macoma","Small_bivalve","bivalves","bivalve","Tellinidae","Cardiida","Bivalvia","81055",NA
"magelona spp.","polychaete","polychaete","worms","polychaete","Magelonidae","Spionida","Polychaeta",NA,NA
"maldanidae","polychaete","polychaete","worms","polychaete","Maldanidae","Scolecida","Polychaeta","67515",NA
"mallochohelea spp.","insect","insect","insect","insect","Ceratopogonidae","Diptera","Insecta",NA,NA
"malmgreniella taylori","polychaete","polychaete","worms","polychaete","Polynoidae","Phyllodocida","Polychaeta",NA,NA
"manayunkia aestuarina","polychaete","polychaete","worms","polychaete","Fabriciidae","Sabellida","Polychaeta","68171",NA
"mancocuma stellifera","cumacean","small_crust","small_crust","cumacean","Bodotriidae","Cumacea","Malacostraca",NA,NA
"mangelia plicosa",NA,"gastropod","Gastropods","gastropod","Mangeliidae","Neogastropoda","Gastropoda","74568",NA
"marenzelleria viridis","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta",NA,NA
"marphysa sanguinea","polychaete","polychaete","worms","polychaete","Eunicidae","Eunicida","Polychaeta",NA,NA
"mediomastus ambiseta","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta","67439",NA
"melinna maculata","polychaete","polychaete","worms","polychaete","Terebellidae","Terebellida","Polychaeta",NA,NA
"melita nitida","amphipods_isopods","amphipods","small_crust","amphipod","Melitidae","Amphipoda","Malacostraca","93812",NA
"melita spp.","amphipods_isopods","amphipods","small_crust","amphipod","Melitidae","Amphipoda","Malacostraca",NA,NA
"mellita quinquiesperforata","amphipods_isopods","amphipods","small_crust","amphipod","Melitidae","Amphipoda","Malacostraca",NA,NA
"menetus dilatatus",NA,"gastropod","Gastropods","gastropod","Planorboidea","Pulmonata","Gastropoda","205210",NA
"mercenaria mercenaria","other_bivalves","Large_bivalve","bivalves","bivalve","Venerida","Veneroida","Bivalvia","81496",NA
"microdeutopus gryllotalpa","amphipods_isopods","small_crust","small_crust","amphipod","Aoridae","Amphipoda","Malacostraca",NA,NA
"microphiopholis atra",NA,NA,NA,"echinoderm","Amphiuridae","Ophiurida","Ophiuroidea",NA,NA
"microphthalmus aberrans","polychaete","polychaete","worms","polychaete","Hesionidae","Phyllodocida","Polychaeta","65478",NA
"microphthalmus sczelkow","polychaete","polychaete","worms","polychaete","Hesionidae","Phyllodocida","Polychaeta",NA,NA
"microphthalmus sczelkowii","polychaete","polychaete","worms","polychaete","Hesionidae","Phyllodocida","Polychaeta",NA,NA
"microphthalmus spp.","polychaete","polychaete","worms","polychaete","Hesionidae","Phyllodocida","Polychaeta",NA,NA
"microprotopus raneyi","amphipods_isopods","amphipods","small_crust","amphipod","Isaeidae","Amphipoda","Malacostraca","94122",NA
"microspio pigmentata","polychaete","polychaete","worms","polychaete","Spionidae","Spionida","Polychaeta","66972",NA
"micrura leidyi",NA,NA,"worms","worm_nemertean","Lineidae","Monostilifera","Enopla","57477",NA
"modiolus modiolus","other_bivalves","Large_bivalve","bivalves","bivalve","Mytillidae","Mytilida","Bivalvia","79501",NA
"molgula lutulenta",NA,NA,NA,"tunicate","Mogulidae","Stolidobranchia","Ascidiacea","159581",NA
"molgula manhattensis",NA,NA,NA,"tunicate","Mogulidae","Stolidobranchia","Ascidiacea","159557",NA
"monocorophium acherusic","amphipods_isopods","amphipods","small_crust","amphipod","Corophiidae","Amphipoda","Malacostraca",NA,NA
"monocorophium acherusicum","amphipods_isopods","amphipods","small_crust","amphipod","Corophiidae","Amphipoda","Malacostraca",NA,NA
"monocorophium insidiosu","amphipods_isopods","amphipods","small_crust","amphipod","Corophiidae","Amphipoda","Malacostraca",NA,NA
"monocorophium insidiosum","amphipods_isopods","amphipods","small_crust","amphipod","Corophiidae","Amphipoda","Malacostraca",NA,NA
"monocorophium tubercula","amphipods_isopods","amphipods","small_crust","amphipod","Corophiidae","Amphipoda","Malacostraca",NA,NA
"monocorophium tuberculatum","amphipods_isopods","amphipods","small_crust","amphipod","Corophiidae","Amphipoda","Malacostraca",NA,NA
"monticellina dorsobranc","polychaete","polychaete","worms","polychaete","Cirratulidae","Terebellida","Polychaeta",NA,NA
"monticellina dorsobranchialis","polychaete","polychaete","worms","polychaete","Cirratulidae","Terebellida","Polychaeta",NA,NA
"mucrogammarus mucronatu","amphipods_isopods","amphipods","small_crust","amphipod","Gammaridae","Amphipoda","Malacostraca",NA,NA
"mucrogammarus mucronatus","amphipods_isopods","amphipods","small_crust","amphipod","Gammaridae","Amphipoda","Malacostraca",NA,NA
"mulinia lateralis","other_bivalves","Small_bivalve","bivalves","bivalve","Mactridae","Veneroida","Bivalvia","80959",NA
"musculium spp.","other_bivalves","Small_bivalve","bivalves","bivalve","Sphaeriidae","Veneroida","Bivalvia",NA,NA
"musculium transversum","other_bivalves","Small_bivalve","bivalves","bivalve","Sphaeriidae","Veneroida","Bivalvia","81428",NA
"mya arenaria","other_bivalves","Large_bivalve","bivalves","bivalve","Myidae","Myoida","Bivalvia","81692",NA
"mysella planulata","other_bivalves","Small_bivalve","bivalves","bivalve","Montacutidae","Veneroida","Bivalvia","80661",NA
"mysidae","mysids","small_crust","small_crust","mysid","Mysidae","Mysida","Malacostraca","89856",NA
"mystides borealis","polychaete","polychaete","worms","polychaete","Phyllodocidae","Phyllodocida","Polychaeta",NA,NA
"mytilidae","other_bivalves","Large_bivalve","bivalves","bivalve","Mytilidae","Mytiloida","Bivalvia",NA,NA
"mytilopsis leucophaeata","other_bivalves","Small_bivalve","bivalves","bivalve","Dreissenidae","Veneroida","Bivalvia","81335",NA
"mytilus edulis","other_bivalves","Large_bivalve","bivalves","bivalve","Mytilidae","Mytiloida","Bivalvia","79454",NA
"nais communis",NA,"oligocheate","worms","oligocheate","Tubificidae","Tubificida","Oligochaeta","68950",NA
"nais simplex",NA,"oligocheate","worms","oligocheate","Tubificidae","Tubificida","Oligochaeta","68957",NA
"nais spp.",NA,"oligocheate","worms","oligocheate","Tubificidae","Tubificida","Oligochaeta",NA,NA
"nais variabilis",NA,"oligocheate","worms","oligocheate","Tubificidae","Tubificida","Oligochaeta","68959",NA
"nanocladius distinctus",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta","128853",NA
"nanocladius spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"nassarius spp.",NA,"gastropod","Gastropods","gastropod","Nassaridae","caenogastropoda","Gastropoda",NA,NA
"nassarius trivittatus",NA,"gastropod","Gastropods","gastropod","Nassaridae","caenogastropoda","Gastropoda","74109",NA
"nassarius vibex",NA,"gastropod","Gastropods","gastropod","Nassaridae","caenogastropoda","Gastropoda","74107",NA
"natarsia spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"naticidae","gastropod","gastropod","Gastropods","gastropod","Naticidae","Littorinimorpha","Gastropoda",NA,NA
"neanthes arenaceodentata","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta",NA,NA
"neanthes succinea","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta","65918",NA
"nectopsyche spp.","insect","insect","insect","insect","Leptoceridae","Trichoptera","Insecta",NA,NA
"nemertina",NA,NA,"worms","worm_nemertean",NA,NA,NA,NA,NA
"neomysis americana","mysids","small_crust","small_crust","mysid","Mysidae","Mysida","Malacostraca","90062",NA
"neorhabdocela",NA,NA,NA,"platyhelminth",NA,NA,"Rhabdocoela",NA,NA
"nephtyidae","polychaete","polychaete","worms","polychaete","Nephtyidae","Phyllodocida","Polychaeta","66010",NA
"nephtys bucera","polychaete","polychaete","worms","polychaete","Nephtyidae","Phyllodocida","Polychaeta","66027",NA
"nephtys incisa","polychaete","polychaete","worms","polychaete","Nephtyidae","Phyllodocida","Polychaeta","66028",NA
"nephtys picta","polychaete","polychaete","worms","polychaete","Nephtyidae","Phyllodocida","Polychaeta","66030",NA
"nephtys spp.","polychaete","polychaete","worms","polychaete","Nephtyidae","Phyllodocida","Polychaeta",NA,NA
"nereididae","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta",NA,NA
"nereis grayi","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta",NA,NA
"nereis spp.","polychaete","polychaete","worms","polychaete","Nereididae","Phyllodocida","Polychaeta",NA,NA
"no organisms present",NA,NA,NA,"No Organisms Present",NA,NA,NA,NA,NA
"notocirrus spiniferus","polychaete","polychaete","worms","polychaete","Oenonidae","Eunicida","Polychaeta","           ",NA
"notomastus hemipodus","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"notomastus sp. a ewing","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"notomastus spp.","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"nucula proxima","other_bivalves","Small_bivalve","bivalves","bivalve","Nuculidae","Nuculida","Bivalvia","79132",NA
"nuculana messanensis","other_bivalves","Small_bivalve","bivalves","bivalve","Nuculanidae","Nuculoida","Bivalvia","79212",NA
"nuculana spp.","other_bivalves","Small_bivalve","bivalves","bivalve","Nuculanidae","Nuculoida","Bivalvia",NA,NA
"nudibranchia",NA,"gastropod","Gastropods","gastropod",NA,"Nudibranchia","Gastropoda","78156",NA
"odonata","insect","insect","insect","insect",NA,"odonata","Insecta",NA,NA
"odontosyllis fulgurans","polychaete","polychaete","worms","polychaete","Syllidae","Phyllodocida","Polychaeta",NA,NA
"odostomia engonia",NA,"gastropod","Gastropods","gastropod","Pyramidellidae","Heterostropha","Gastropoda","75504",NA
"odostomia spp.",NA,"gastropod","Gastropods","gastropod","Pyramidellidae","Heterostropha","Gastropoda",NA,NA
"oecetis cf. parva","insect","insect","insect","insect","Leptoceridae","Trichoptera","Insecta",NA,NA
"oecetis conspicua","insect","insect","insect","insect","Leptoceridae","Trichoptera","Insecta",NA,NA
"oecetis furva group","insect","insect","insect","insect","Leptoceridae","Trichoptera","Insecta",NA,NA
"oecetis inconspicua","insect","insect","insect","insect","Leptoceridae","Trichoptera","Insecta","116613",NA
"oecetis spp.","insect","insect","insect","insect","Leptoceridae","Trichoptera","Insecta",NA,NA
"ogyrides alphaerostris",NA,"large_decapod","decapod_shrimp","decapod_shrimp","Ogyrididae","Decapoda","Malacostraca","96737",NA
"oligochaeta",NA,"oligocheate","worms","oligocheate",NA,NA,"Oligochaeta","68422",NA
"onchidoris aspersa",NA,"gastropod","Gastropods","nudibranch","Onchidorididae","Nudibranchia","Gastropoda","78377",NA
"onuphis eremita","polychaete","polychaete","worms","polychaete","Onuphidae","Eunicida","Polychaeta",NA,NA
"ophelia denticulata","polychaete","polychaete","worms","polychaete","Opheliidae","Scolecida","Polychaeta",NA,NA
"ophiuroidea",NA,NA,NA,"echinoderm",NA,NA,NA,"157325",NA
"optioservus spp.",NA,NA,"insect","insect","Elmidae","Coleoptera","Insecta",NA,NA
"orbiniidae","polychaete","polychaete","worms","polychaete","Orbiniidae","Scolecida","Polychaeta","66570",NA
"orthocladiinae",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta","128457",NA
